409.7095 	Level keypress=1 at time= 1.598874 	25
409.7099 	Level injecting via pump at address 1 and a keypress of 1 and image of d.jpg 	25
414.6948 	DATA 	Keypress: o
414.6959 	DATA 	Keypress: o
414.6972 	DATA 	Keypress: o
415.7104 	Level RINSE 	25
417.6961 	DATA 	Keypress: o
421.6893 	Level finished 	25
421.6911 	DATA 	Keypress: o
421.6923 	DATA 	Keypress: o
422.0840 	Level b.jpg at position=left and a.jpg at position=right 	25
423.6909 	DATA 	Keypress: o
423.6926 	DATA 	Keypress: 1
423.7112 	Level keypress=1 at time= 1.598414 	25
423.7116 	Level injecting via pump at address 2 and a keypress of 1 and image of b.jpg 	25
428.6963 	DATA 	Keypress: o
428.6979 	DATA 	Keypress: o
428.6993 	DATA 	Keypress: o
429.7120 	Level RINSE 	25
431.6956 	DATA 	Keypress: o
436.6893 	Level finished 	25
436.6909 	DATA 	Keypress: o
436.6919 	DATA 	Keypress: o
436.6928 	DATA 	Keypress: o
437.0643 	Level f.jpg at position=right and e.jpg at position=left 	25
438.6905 	DATA 	Keypress: o
438.6919 	DATA 	Keypress: 1
438.6930 	DATA 	Keypress: 5
438.7134 	Level keypress=1 at time= 1.595815 	25
438.7139 	Level injecting via pump at address 1 and a keypress of 1 and image of e.jpg 	25
443.6966 	DATA 	Keypress: o
443.6985 	DATA 	Keypress: o
444.6927 	DATA 	Keypress: o
444.7138 	Level RINSE 	25
446.6956 	DATA 	Keypress: o
450.6893 	Level finished 	25
450.6914 	DATA 	Keypress: o
450.6930 	DATA 	Keypress: o
451.0769 	Level c.jpg at position=right and d.jpg at position=left 	25
452.6907 	DATA 	Keypress: 1
452.6926 	DATA 	Keypress: o
452.7146 	Level keypress=1 at time= 1.592770 	25
452.7150 	Level injecting via pump at address 2 and a keypress of 1 and image of d.jpg 	25
457.6963 	DATA 	Keypress: o
457.6982 	DATA 	Keypress: o
458.6928 	DATA 	Keypress: o
458.7154 	Level RINSE 	25
460.6951 	DATA 	Keypress: o
465.6893 	Level finished 	25
